songID,varID,lyrics_writer,song_writer,arranger
361,1,伊藤アキラ,森田公一,山尾正人
362,1,林柳波,井上武士,米光亮
363,1,まきみのり,峯陽,ab:fly
364,1,,文部省唱歌,山尾正人
366,1,江間章子,中田喜直,米光亮
367,1,つんく,つんく,松原憲
368,1,つんく,つんく,松尾和博
369,1,つんく,つんく,渡部チェル
370,1,つんく,つんく,高橋諭一
371,1,つんく,つんく,ab:fly (ブラスアレンジ：河野伸)
372,1,新堂敦士,新堂敦士,ab:fly
374,1,つんく,つんく,鈴木俊介
375,1,つんく,つんく,石塚知生
376,1,つんく,つんく,小西貴雄
376,2,つんく,つんく,小西貴雄
377,1,つんく,つんく,小西貴雄
378,1,つんく,つんく,山尾正人
380,1,つんく,つんく,小西貴雄
381,2,つんく,つんく,SHO-1
382,2,つんく,つんく,鈴木Daichi秀行
384,1,,つんく,渡部チェル
386,1,つんく,つんく,酒井ミキオ
387,1,つんく,つんく,上杉洋史
388,1,つんく,つんく,高橋諭一
389,1,つんく,つんく,高橋諭一
390,1,つんく,つんく,鈴木俊介
391,1,つんく,つんく,鈴木Daichi秀行
393,1,つんく,つんく,山尾正人
394,1,つんく,つんく,小西貴雄
395,1,つんく,つんく,渡部チェル
396,1,つんく,つんく,鈴木Daichi秀行
397,1,つんく,つんく,鈴木俊介
398,1,つんく,つんく,鈴木Daichi秀行
399,1,つんく,つんく,鈴木Daichi秀行
400,1,つんく,つんく,渡部チェル
401,1,つんく,つんく,渡部チェル
403,1,つんく,つんく,鈴木Daichi秀行
403,2,つんく,つんく,鈴木Daichi秀行
403,3,つんく,つんく,鈴木Daichi秀行
404,1,つんく,つんく,渡部チェル
405,1,つんく,つんく,小西貴雄
406,1,つんく,つんく,鈴木俊介
408,1,つんく,つんく,鈴木Daichi秀行
408,2,つんく,つんく,鈴木Daichi秀行
410,1,つんく,つんく,酒井ミキオ
410,2,つんく,つんく,酒井ミキオ
412,1,つんく,つんく,高橋諭一
414,1,つんく,つんく,渡部チェル
415,1,つんく,つんく,小西貴雄
416,1,つんく,つんく,山尾正人
417,1,つんく,つんく,小西貴雄
418,1,つんく,つんく,高橋諭一
420,1,つんく,つんく,鈴木Daichi秀行
420,2,つんく,つんく,鈴木Daichi秀行
420,3,つんく,つんく,WMPTARMIGAN
421,1,つんく,つんく,TATOO
422,1,つんく,つんく,小西貴雄
423,1,つんく,つんく,小西貴雄
426,1,つんく,つんく,小西貴雄
427,1,つんく,つんく,小西貴雄
428,1,つんく,つんく,前嶋康明
428,2,つんく,つんく,前嶋康明
429,1,つんく,つんく,河野伸
430,1,つんく,つんく,高橋諭一
431,1,つんく,つんく,高橋諭一
432,1,つんく,つんく,永井ルイ
433,1,野坂昭如/補作詞:吉岡治,越部信義,山尾正人
434,1,薩摩忠,小林秀雄,樫原伸彦
435,1,三木露風,山田耕筰,樫原伸彦
436,1,斎藤信夫,海沼実,山尾正人
437,1,巽聖歌,渡辺茂,樫原伸彦
438,1,文部省唱歌,文部省唱歌,山尾正人
439,1,1.2番:青木存義/3.4番:荒木とよひさ,梁田貞,ab:fly
440,1,サトウハチロー,中田喜直,ヲノサトル
441,1,野口雨情,本居長世,樫原伸彦
442,1,文部省唱歌,文部省唱歌,河野雅昭
443,1,文部省唱歌,文部省唱歌,山尾正人
444,1,高野辰之,岡野貞一,湯浅公一
445,1,中村雨江,草川 信,山尾正人
446,1,不詳/訳詞:阪田寛夫(2.3番),イギリス民謡,ab:fly
447,1,訳詞:犬童球渓,J.P.オードウェイ,ヲノサトル
448,1,高野辰之,岡野貞一,樫原伸彦
449,1,つんく,つんく,上杉洋史
449,2,つんく,つんく,上杉洋史
